Year,Unemployment,Inflation,Interest %
1970,4.90000009536743,5.83825533848253,2.18540000839062
1971,5.90000009536743,4.29276668813045,0.62260495720725
1972,5.59999990463257,3.27227824655283,0.88722916425152
1973,4.90000009536743,6.17776006377041,2.40973534145284
1974,5.59999990463257,11.0548048048048,1.65106445818912
1975,8.5,9.14314686496534,-1.28141917096265
1976,7.69999980926514,5.74481263549085,1.26689165699568
1977,7.09999990463257,6.50168399472839,0.575068852913289
1978,6.09999990463257,7.63096383885602,1.88990329174528
1979,5.80000019073486,11.2544711292795,4.03454769286935
1980,7.09999990463257,13.5492019749684,5.7163904794562
1981,7.59999990463257,10.3347153402771,8.59461978793387
1982,9.69999980926514,6.13142700027494,8.17734743775717
1983,9.60000038146973,3.21243523316063,6.6181602274006
1984,7.5,4.30053547523427,8.14108811911498
1985,7.19999980926514,3.54564415209369,6.56332655995495
1986,7.0,1.89804772234275,6.19386027119665
1987,6.19999980926514,3.66456321751691,5.59223790069931
1988,5.5,4.07774110744408,5.59038219332081
1989,5.30000019073486,4.82700303008949,6.69068693481143
1990,5.59999990463257,5.39795643990322,6.03974920024778
1991,6.80000019073486,4.23496396453853,4.91534648240575
1992,7.5,3.0288196781497,3.88423803806005
1993,6.90000009536743,2.95165696638554,3.54561722959168
1994,6.11999988555908,2.6074415921546,4.898309954362
1995,5.65000009536743,2.80541968853655,6.5939963828891
1996,5.44999980926514,2.9312041999344,6.32407370913164
1997,5.0,2.33768993730741,6.53661498804258
1998,4.51000022888184,1.55227909874362,7.1481919123237
1999,4.21999979019165,2.18802719697358,6.4571348015229
2000,3.99000000953674,3.37685727149935,6.84484418755139
2001,4.73000001907349,2.82617111885402,4.62675686396421
2002,5.78000020980835,1.58603162650603,3.04507118458628
2003,5.98999977111816,2.27009497336113,2.22410112310282
2004,5.53000020980835,2.67723669309173,1.60458893576253
2005,5.07999992370605,3.39274684549547,2.98135677415587
2006,4.61999988555908,3.22594410070407,4.78644765750077
2007,4.61999988555908,2.85267248150136,5.22340584151622
2008,5.78000020980835,3.83910029665101,3.08241133651995
2009,9.25,-0.35554626629975,2.46882889478265
2010,9.63000011444092,1.64004344238989,2.06073671062756
2011,8.94999980926514,3.15684156862206,1.1373383192166
2012,8.06999969482422,2.06933726526059,1.30708311280131
2013,7.36999988555908,1.46483265562714,1.46929925051209
2014,6.17000007629395,1.62222297740821,1.37474217085635
2015,5.28000020980835,0.118627135552435,2.28569648741529
2016,4.86999988555908,1.26158320570537,2.43685070473409
2017,4.3600001335144,2.13011000365963,2.17569426533145
2018,3.90000009536743,2.44258329692818,2.44449371999786
2019,3.67000007629395,1.81221007526015,3.43601046885253
2020,8.05000019073486,1.23358439630637,2.31111141663839
2021,5.34999990463257,4.69785886363739,
