country,year,"Inflation, consumer prices (annual %)","Inflation, GDP deflator (annual %)",Real interest rate (%),Deposit interest rate (%),Lending interest rate (%),"Unemployment, total (% of total labor force) (national estimate)","Unemployment, total (% of total labor force) (modeled ILO estimate)"
United Kingdom,1970,6.36656841727438,5.53973503072942,1.62049390096783,5.20833333333333,7.25,,
United Kingdom,1971,9.44483742337138,7.98562450396294,-0.449712178073405,3.83333333333333,7.5,3.29999995231628,
United Kingdom,1972,7.07109839479793,7.18825178365192,0.290841777116869,4.14583333333333,7.5,3.70000004768372,
United Kingdom,1973,9.1960331665781,8.41487857295569,-0.382676786080152,8.02083333333333,8.0,2.59999990463257,
United Kingdom,1974,16.0440111889862,15.0592125800563,-5.26616899610745,9.5,9.0,2.59999990463257,
United Kingdom,1975,24.2072876743291,25.7707279916172,-12.1674069708577,7.08333333333333,10.4676916666667,4.0,
United Kingdom,1976,16.5595225588084,15.1135672458945,-3.48579002622957,7.54166666666667,11.10095,5.5,
United Kingdom,1977,15.8402667458767,13.7104941744667,-4.22003926958361,4.89583333333333,8.91186666666667,5.80000019073486,
United Kingdom,1978,8.26314103860768,11.4575469497378,-2.12134307137053,6.08333333333333,9.09315,5.69999980926514,
United Kingdom,1979,13.4212799774013,14.0665414144871,-0.325891428410261,11.7083333333333,13.6948083333333,5.30000019073486,
United Kingdom,1980,17.9659242656858,19.7037946351815,-2.83291879942755,14.125,16.3126833333333,6.80000019073486,
United Kingdom,1981,11.8766265142296,11.5692628194882,1.51093333227377,10.6666666666667,13.255,10.3999996185303,
United Kingdom,1982,8.59886383332181,7.41877486404204,4.20056159487545,12.4216666666667,11.9309666666667,10.8999996185303,
United Kingdom,1983,4.60930327269783,5.12280957507546,4.47329852636106,11.1925,9.82526666666667,11.0900001525879,
United Kingdom,1984,4.96071097821929,5.03004749604274,4.42735447123592,7.27166666666666,9.6801,10.8999996185303,
United Kingdom,1985,6.07139434015118,5.51169788469916,6.38913559707935,11.7925,12.2529833333333,11.4899997711182,
United Kingdom,1986,3.42760940369308,4.33535606610785,6.29317090082597,9.85166666666666,10.9013583333333,11.5100002288818,
United Kingdom,1987,4.14892232052949,5.4405490747903,4.07333892216669,8.56916666666667,9.7355,11.0200004577637,
United Kingdom,1988,4.15535171583102,6.13317320683642,3.73355003602365,8.54583333333333,10.0957083333333,9.01000022888184,
United Kingdom,1989,5.76024909185262,7.93586228546617,5.4717180395958,11.505,13.8418083333333,7.40999984741211,
United Kingdom,1990,8.06346090938833,7.88621804738521,6.37884870174878,12.5441666666667,14.7681166666667,6.96999979019165,
United Kingdom,1991,7.46178295746933,6.41908648514389,4.95766034312456,10.28,11.6949833333333,8.55000019073486,8.55000019073486
United Kingdom,1992,4.59154929577464,3.32097924869252,6.04185532312384,7.46166666666667,9.56348333333333,9.77999973297119,9.77999973297119
United Kingdom,1993,2.55857796929707,2.73304425884132,3.19331437918495,3.97,6.01363333333333,10.3500003814697,10.3500003814697
